Company Category,Country,State,Activated Date,Skills,UK Region
Gaming Company,United Kingdom,England,2025-08-05,ms-office,England
Gaming Company,United Kingdom,England,2025-08-05,communication,England
Gaming Company,United Kingdom,England,2025-08-05,excel,England
Gaming Company,United Kingdom,England,2025-08-05,game-texts,England
Gaming Company,United Kingdom,England,2025-08-05,microsoft-excel,England
Gaming Company,United Kingdom,England,2025-08-05,accounting,England
Gaming Company,United Kingdom,England,2025-08-05,google-sheets,England
Gaming Company,United Kingdom,Scotland,2025-08-06,cross-functional,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,communication,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,problem-solving,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,cpp,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,talent-acquisition,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,game-texts,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,software-development-lifecycle-sdlc,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,cryptography,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,communication,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,excel,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,data-analytics,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,cpp,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,unity,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,talent-acquisition,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,game-texts,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-06,c#,Scotland
Gaming Company,United Kingdom,England,2025-08-06,game-texts,England
Gaming Company,United Kingdom,England,2025-08-06,rust,England
Gaming Company,United Kingdom,England,2025-08-06,ci-cd,England
Gaming Company,United Kingdom,England,2025-08-06,docker,England
Gaming Company,United Kingdom,England,2025-08-06,microservices,England
Gaming Company,United Kingdom,England,2025-08-06,kubernetes,England
Gaming Company,United Kingdom,England,2025-08-06,python,England
Gaming Company,United Kingdom,,2025-08-06,adobe-creative-suite,Unknown
Gaming Company,United Kingdom,,2025-08-06,color-theory,Unknown
Gaming Company,United Kingdom,,2025-08-06,game-texts,Unknown
Gaming Company,United Kingdom,,2025-08-06,composition,Unknown
Gaming Company,United Kingdom,,2025-08-06,photoshop,Unknown
Gaming Company,United Kingdom,,2025-08-06,adobe-creative-suite,Unknown
Gaming Company,United Kingdom,,2025-08-06,color-theory,Unknown
Gaming Company,United Kingdom,,2025-08-06,game-texts,Unknown
Gaming Company,United Kingdom,,2025-08-06,composition,Unknown
Gaming Company,United Kingdom,,2025-08-06,photoshop,Unknown
Gaming Company,United Kingdom,England,2025-08-06,communication,England
Gaming Company,United Kingdom,England,2025-08-06,logo-development,England
Gaming Company,United Kingdom,England,2025-08-06,cpp,England
Gaming Company,United Kingdom,England,2025-08-06,talent-acquisition,England
Gaming Company,United Kingdom,England,2025-08-06,game-texts,England
Gaming Company,United Kingdom,England,2025-08-06,c#,England
Gaming Company,United Kingdom,England,2025-08-06,cold-calling,England
Gaming Company,United Kingdom,England,2025-08-06,lead-generation,England
Gaming Company,United Kingdom,England,2025-08-06,communication,England
Gaming Company,United Kingdom,England,2025-08-06,game-texts,England
Gaming Company,United Kingdom,England,2025-08-06,salesforce,England
Gaming Company,United Kingdom,England,2025-08-06,revenue-growth,England
Gaming Company,United Kingdom,England,2025-08-06,growth-strategies,England
Gaming Company,United Kingdom,England,2025-08-06,lead-generation,England
Gaming Company,United Kingdom,England,2025-08-06,team-player,England
Gaming Company,United Kingdom,England,2025-08-06,oracle,England
Gaming Company,United Kingdom,England,2025-08-06,game-texts,England
Gaming Company,United Kingdom,England,2025-08-06,aws,England
Gaming Company,United Kingdom,England,2025-08-06,blueprints,England
Gaming Company,United Kingdom,England,2025-08-06,cpp,England
Gaming Company,United Kingdom,England,2025-08-06,unreal,England
Gaming Company,United Kingdom,England,2025-08-06,unity,England
Gaming Company,United Kingdom,England,2025-08-06,talent-acquisition,England
Gaming Company,United Kingdom,England,2025-08-06,game-texts,England
Gaming Company,United Kingdom,England,2025-08-06,mean,England
Gaming Company,United Kingdom,England,2025-08-06,maya,England
Gaming Company,United Kingdom,England,2025-08-07,team-management,England
Gaming Company,United Kingdom,England,2025-08-07,communication,England
Gaming Company,United Kingdom,England,2025-08-07,game-texts,England
Gaming Company,United Kingdom,England,2025-08-08,budget-management,England
Gaming Company,United Kingdom,England,2025-08-08,game-texts,England
Gaming Company,United Kingdom,England,2025-08-08,level-design,England
Gaming Company,United Kingdom,England,2025-08-08,data-analytics,England
Gaming Company,United Kingdom,England,2025-08-08,talent-acquisition,England
Gaming Company,United Kingdom,England,2025-08-08,game-texts,England
Gaming Company,United Kingdom,England,2025-08-08,mathematical,England
Gaming Company,United Kingdom,England,2025-08-08,data-visualization,England
Gaming Company,United Kingdom,England,2025-08-08,looker,England
Gaming Company,United Kingdom,England,2025-08-08,python,England
Gaming Company,United Kingdom,England,2025-08-08,sql,England
Gaming Company,United Kingdom,England,2025-08-09,anatomy,England
Gaming Company,United Kingdom,England,2025-08-09,game-texts,England
Gaming Company,United Kingdom,England,2025-08-09,texturing,England
Gaming Company,United Kingdom,England,2025-08-09,composition,England
Gaming Company,United Kingdom,England,2025-08-09,photoshop,England
Gaming Company,United Kingdom,England,2025-08-09,zbrush,England
Gaming Company,United Kingdom,England,2025-08-09,maya,England
Gaming Company,United Kingdom,England,2025-08-09,anatomy,England
Gaming Company,United Kingdom,England,2025-08-09,unreal,England
Gaming Company,United Kingdom,England,2025-08-09,game-texts,England
Gaming Company,United Kingdom,England,2025-08-09,texturing,England
Gaming Company,United Kingdom,England,2025-08-09,composition,England
Gaming Company,United Kingdom,England,2025-08-09,photoshop,England
Gaming Company,United Kingdom,England,2025-08-09,zbrush,England
Gaming Company,United Kingdom,England,2025-08-09,maya,England
Gaming Company,United Kingdom,Scotland,2025-08-09,anatomy,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,game-texts,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,texturing,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,composition,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,photoshop,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,zbrush,Scotland
Gaming Company,United Kingdom,Scotland,2025-08-09,maya,Scotland
Gaming Company,United Kingdom,England,2025-08-09,anatomy,England
Gaming Company,United Kingdom,England,2025-08-09,game-texts,England
Gaming Company,United Kingdom,England,2025-08-09,texturing,England
Gaming Company,United Kingdom,England,2025-08-09,composition,England
Gaming Company,United Kingdom,England,2025-08-09,photoshop,England
Gaming Company,United Kingdom,England,2025-08-09,zbrush,England
Gaming Company,United Kingdom,England,2025-08-09,maya,England
Gaming Company,United Kingdom,England,2025-08-09,cross-functional,England
Gaming Company,United Kingdom,England,2025-08-09,communication,England
Gaming Company,United Kingdom,England,2025-08-09,game-texts,England
Gaming Company,United Kingdom,England,2025-08-09,quality-control,England
Gaming Company,United Kingdom,England,2025-08-09,lighthouse,England
Gaming Company,United Kingdom,England,2025-08-09,team-management,England
