UK Region,Skills,Cluster_Name,Demand,Supply,Gap_Score
England,communication,Soft Skills & Business Development,527,0.1759,10.0
England,team-management,Project & Development Management,318,0.1778,7.9947
England,talent-acquisition,Soft Skills & Business Development,294,0.1729,7.7671
England,cross-functional,Soft Skills & Business Development,158,0.1758,6.4613
England,python,Soft Skills & Business Development,127,0.1774,6.1632
England,quality-control,Game Development & Programming,123,0.1874,6.1198
England,storytelling,Soft Skills & Creative Production,118,0.1855,6.0728
England,problem-solving,Soft Skills & Creative Production,115,0.1679,6.053
England,excel,Game Development & Programming,113,0.1692,6.0331
England,unity,Game Development & Programming,110,0.167,6.0054
England,unreal,Soft Skills & Business Development,110,0.1757,6.001
England,cpp,Game Development & Programming,107,0.1631,5.9787
England,budget-management,Project & Development Management,102,0.1849,5.9197
England,agile-development,Project & Development Management,98,0.1478,5.9001
England,maya,Game Development & Programming,85,0.1866,5.7558
England,real-time-vfx,Soft Skills & Business Development,84,0.1866,5.7462
England,ms-office,Business Tools & Productivity,82,0.1738,5.7335
England,timeline-management,Project & Development Management,74,0.1777,5.6548
England,c#,Game Development & Programming,68,0.1506,5.6109
England,sql,Game Development & Programming,68,0.1681,5.6021
England,data-analytics,Soft Skills & Business Development,68,0.1681,5.6021
England,team-player,Game Development & Programming,65,0.1793,5.5677
England,user-experience-ux,Soft Skills & Business Development,60,0.1719,5.5235
England,jira,Game Development & Programming,60,0.182,5.5184
England,forecasting-budgeting,Soft Skills & Creative Production,59,0.1893,5.5051
England,prototyping,Soft Skills & Creative Production,58,0.1781,5.5011
England,saas-business-models,"Cloud, Infrastructure & DevOps",58,0.1893,5.4955
England,photoshop,Game Development & Programming,56,0.1707,5.4857
England,github,Game Development & Programming,54,0.1601,5.4719
England,monday,Game Development & Programming,51,0.1807,5.4327
England,lighting-shading,Soft Skills & Creative Production,51,0.1893,5.4284
England,ci-cd,Game Development & Programming,48,0.1535,5.4177
England,rendering,Soft Skills & Creative Production,49,0.1804,5.4137
England,aws,"Cloud, Infrastructure & DevOps",48,0.1719,5.4084
England,oops,"Cloud, Infrastructure & DevOps",47,0.1893,5.39
England,houdini,Business Tools & Productivity,46,0.1893,5.3805
England,market-research,Game Development & Programming,44,0.1748,5.3686
England,linux,Game Development & Programming,43,0.1792,5.3568
England,git,Business Tools & Productivity,41,0.1604,5.3471
England,composition,Soft Skills & Business Development,39,0.1782,5.3189
England,azure,Soft Skills & Business Development,38,0.1677,5.3146
England,risk-management,Project & Development Management,38,0.1835,5.3067
England,machine-learning,Soft Skills & Creative Production,38,0.1893,5.3037
England,multiplayer,Game Development & Programming,35,0.1714,5.284
England,accounting,Soft Skills & Creative Production,35,0.177,5.2811
England,account-management,Project & Development Management,35,0.1893,5.275
England,blender,Game Development & Programming,34,0.1767,5.2717
England,microsoft-office,Business Tools & Productivity,33,0.1595,5.2708
England,nuke,"Cloud, Infrastructure & DevOps",33,0.1893,5.2558
England,networking,Soft Skills & Creative Production,32,0.176,5.2529
England,character-design,Game Development & Programming,32,0.1824,5.2496
England,revenue-growth,Soft Skills & Business Development,31,0.1893,5.2366
England,performance-analysis,"Cloud, Infrastructure & DevOps",30,0.1893,5.227
England,artistic-vision,Soft Skills & Business Development,29,0.1893,5.2174
England,power-bi,Game Development & Programming,28,0.1742,5.2154
England,concept-art,Soft Skills & Business Development,28,0.1815,5.2118
England,rigging,Soft Skills & Creative Production,27,0.1812,5.2023
