Company Category,Country,State,Activated Date,Skills,UK Region,Cluster,Cluster_Name
Gaming Company,United Kingdom,England,2025-08-05,ms-office,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-05,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-05,excel,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-05,microsoft-excel,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-05,accounting,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-05,google-sheets,England,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,cross-functional,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,communication,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,problem-solving,Scotland,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,Scotland,2025-08-06,cpp,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,talent-acquisition,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,software-development-lifecycle-sdlc,Scotland,5,Project & Development Management
Gaming Company,United Kingdom,Scotland,2025-08-06,cryptography,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,communication,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,excel,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,data-analytics,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,cpp,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,unity,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-06,talent-acquisition,Scotland,4,Soft Skills & Business Development
Gaming Company,United Kingdom,Scotland,2025-08-06,c#,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,rust,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-06,ci-cd,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,docker,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,microservices,England,3,Business Tools & Productivity
Gaming Company,United Kingdom,England,2025-08-06,kubernetes,England,2,"Cloud, Infrastructure & DevOps"
Gaming Company,United Kingdom,England,2025-08-06,python,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,logo-development,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-06,cpp,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,talent-acquisition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,c#,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,cold-calling,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-06,lead-generation,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,salesforce,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,revenue-growth,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,growth-strategies,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-06,lead-generation,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,team-player,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,oracle,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,aws,England,2,"Cloud, Infrastructure & DevOps"
Gaming Company,United Kingdom,England,2025-08-06,blueprints,England,2,"Cloud, Infrastructure & DevOps"
Gaming Company,United Kingdom,England,2025-08-06,cpp,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,unreal,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,unity,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,talent-acquisition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-06,mean,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-06,maya,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-07,team-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-07,communication,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,budget-management,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-08,level-design,England,5,Project & Development Management
Gaming Company,United Kingdom,England,2025-08-08,data-analytics,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,talent-acquisition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,mathematical,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,data-visualization,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,looker,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-08,python,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-08,sql,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,anatomy,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,texturing,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-09,composition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-09,photoshop,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,zbrush,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,maya,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,anatomy,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,unreal,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-09,texturing,England,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,England,2025-08-09,composition,England,4,Soft Skills & Business Development
Gaming Company,United Kingdom,England,2025-08-09,photoshop,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,zbrush,England,1,Game Development & Programming
Gaming Company,United Kingdom,England,2025-08-09,maya,England,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-09,anatomy,Scotland,1,Game Development & Programming
Gaming Company,United Kingdom,Scotland,2025-08-09,texturing,Scotland,0,Soft Skills & Creative Production
Gaming Company,United Kingdom,Scotland,2025-08-09,composition,Scotland,4,Soft Skills & Business Development
